0:0:0:0:0:0:0:1 - - [30/May/2023:11:08:09 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [30/May/2023:11:08:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:08:10 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:08:10 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [30/May/2023:11:08:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:09:31 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:09:31 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [30/May/2023:11:09:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:11:55 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:11:55 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [30/May/2023:11:11:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:12:58 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:12:58 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [30/May/2023:11:12:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:13:57 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:13:57 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [30/May/2023:11:13:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:15:49 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:15:49 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [30/May/2023:11:15:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
